Arttırılabilir Azami Bellek:,Bağlantı Girişleri:,Bağlantılar:,Cihaz Ağırlığı:,Dokunmatik Ekran:,Ekran Boyutu:,Ekran Kartı Bellek Tipi:,Ekran Kartı Hafızası:,Ekran Kartı Tipi:,Ekran Kartı:,Ekran Özelliği:,Garanti Tipi:,Görüntü Kalitesi:,HDMI:,Hard Disk Kapasitesi:,Kapasite:,Klavye:,Kullanım Amacı:,Optik Sürücü Tipi:,Optik Sürücü:,Panel Tipi:,Ram (Sistem Belleği):,Renk:,SSD Kapasitesi:,Web Color:,Çözünürlük Standartı:,Çözünürlük:,İşlemci Frekansı:,İşlemci Hızı (GHz):,İşlemci Modeli:,İşlemci Nesli:,İşlemci Tipi:,İşlemci Çekirdek Sayısı:,İşletim Sistemi:,Şarjlı Kullanım Süresi:,url,price
,,HDMI,2 kg ve Altı,Yok,"15,6 inç",DDR,Paylaşımlı,Dahili,Intel HD Graphics,HD,Distribütör Garantili,,Var,1 TB,1 TB,Q Türkçe,Ofis - İş,DVD Yazıcı,DVD Yazıcı,,8 GB,Siyah,Yok,,,1366 x 768,,1 - 2,1035G1,10. Nesil,Intel Core i5,6,Free Dos,,https://www.trendyol.com//hp/175r9ea-250-g7-intel-core-i5-1035g1-8gb-ram-1tb-hdd-15-6-freedos-notebook-p-48358746,6.199 TL
16 GB,,HDMI,2 kg ve Altı,Yok,"15,6 inç",GDDR5,2 GB,Harici,Nvidia GeForce MX330,Full HD,Distribütör Garantili,,Var,,Yok,Q Türkçe,Ev - Okul,Yok,,IPS,8 GB,Gümüş,256 GB,,Full HD (FHD),1920 x 1080,,,1035G1,10. Nesil,Intel Core i5,4,Free Dos,4 - 6 Saat,https://www.trendyol.com//hp/15-dw2006nt-intel-core-i5-1035g1-8gb-256gb-ssd-mx330-freedos-15-6-fhd-3h806ea-p-42716460,7.899 TL
,,,2 - 4 kg,Yok,"15,6 inç",SD,Paylaşımlı,Dahili,Intel HD Graphics,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,16 GB,Gri,256 GB,,,1920 x 1080,,,3500U,Ryzen,AMD Ryzen 5,4,Windows,,https://www.trendyol.com//hp/255-g7-2d231ea03-ryzen5-3500u-16gb-256ssd-15-6-w10h-fhd-tasinabilir-bilgisayar-p-65137303,6.699 TL
,,,2 - 4 kg,Yok,"15,6 inç",DDR4,Paylaşımlı,Dahili,Paylaşımlı,Full HD,Distribütör Garantili,Full HD,,,Yok,Q Türkçe,Ofis - İş,DVD RW,,,8 GB,Siyah,512 GB,,Full HD (FHD),1920 x 1080,3.00 GHz üstü,4 +,10510U,10. Nesil,Intel Core i7,4,Free Dos,,https://www.trendyol.com//asus/p2540fa-ex477-i7-10510u-8gb-512gb-15-6-freedos-p-64882776,7.699 TL
,,,2 - 4 kg,,"17,3 inç",DDR4,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce GTX1650,,Distribütör Garantili,,,,1 TB,Q Türkçe,Oyun,,,,16 GB,Gri,256 GB,,Full HD (FHD),1920 x 1080,,,9750H,9. Nesil,Intel Core i7,6,Free Dos,4 - 6 Saat,https://www.trendyol.com//lenovo/l340-81ll000ytx-intel-core-i7-9750h-16gb-1tb-256g-ssd-gtx1650-17-freedos-p-35608241,12.249 TL
32 GB,,Bluetooth,2 kg ve Altı,Yok,"15,6 inç",GDDR5,2 GB,Harici,Nvidia GeForce MX330,Full HD,Distribütör Garantili,HD Ready,Var,1 TB,1 TB,Numerik Tuşlu Aydınlatmalı,Tasarım,DVD Yazıcı,DVD Yazıcı,IPS,16 GB,Gümüş,256 GB,,Full HD (FHD),1920 x 1080,3.00 GHz üstü,3 - 4,1035G1,10. Nesil,Intel Core i5,4,Windows,4 - 6 Saat,https://www.trendyol.com//hp/laptop-15-intel-i5-1035g1-nvidia-mx330-16gb-256gb-1tb-fhd-ips-p-46714717,7.599 TL
,,,2 - 4 kg,Yok,"15,6 inç",GDDR5,4 GB ve altı,Dahili,Nvidia Quadro T2000,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,32 GB,Gri,512 GB,,,1920 x 1080,,,9850H,9. Nesil,Intel Core i7,8,Windows,,https://www.trendyol.com//lenovo/thinkpad-mws-p53-20qn002ptx03-i7-9850h-32gb-512ssd-t2000-4gb-15-6-windows-10-pro-nb-p-58926365,21.900 TL
,,,2 kg ve Altı,Yok,"14,1 inç",DDR3,Paylaşımlı,Dahili,Paylaşımlı,Full HD,İthalatçı Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,8 GB,Gri,32 GB,,,1920 x 1080,,,8300H,8. Nesil,Intel Celeron,2,Linux,,https://www.trendyol.com//asus/c433t-14-fho-intelcore-m3-8100y-4gb-ram-64gb-sso-chrome-os-laptop-p-51107845,4.699 TL
,,,2 kg ve Altı,Yok,"15,6 inç",GDDR5,4 GB,Harici,AMD,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Oyun,Yok,,,8 GB,Gümüş,256 GB,,,1920 x 1080,,,1035G1,10. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//lenovo/thinkbook-15-iil-i5-1035g1-8-gb-ram-256-gb-ssd-2-gb-radeon-630-freedos-20sm009gtx-p-66171128,"7.339,90 TL"
,,,2 kg ve Altı,Yok,"15,6 inç",DDR4,2 GB,Dahili,Nvidia GeForce MX110,Full HD,Distribütör Garantili,,,,256 GB,Numerik Tuşlu,Ofis - İş,DVD Yazıcı,,,8 GB,Siyah,256 GB,,,1920 x 1080,,,1035G1,10. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//hp/250-g7-intel-core-i5-1035g1-8gb-256gb-ssd-mx110-freedos-15-6-fhd-tasinabilir-bilgisayar-14z83ea-p-48927118,"6.899,99 TL"
32 GB,,,2 kg ve Altı,Yok,"11,6 inç",DDR2 + DDR3,Paylaşımlı,Dahili,Dahili Ekran Kartı,Full HD,İthalatçı Garantili,,Var,,64 GB,Q Türkçe,Ev - Okul,Yok,,,2 GB,Siyah,32 GB,,,1920 x 1080,,3 - 4,Z3735F,8. Nesil,Intel Atom,1,Windows,4 - 6 Saat,https://www.trendyol.com//ixtech/thinbook-p-58925193,2.189 TL
,,,2 kg ve Altı,Yok,"15,6 inç",SD,Paylaşımlı,Dahili,Paylaşımlı,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ev - Okul,Yok,,,8 GB,Gri,256 GB,,,1920 x 1080,,,3500U,Ryzen,AMD,4,Free Dos,,https://www.trendyol.com//lenovo/v15-82c7001jtx01-ryzen5-3500u-8gb-256ssd-15-6-freedos-fhd-tasinabilir-bilgisayar-p-57270643,5.999 TL
,,,2 - 4 kg,Yok,"15,6 inç",DDR4,4 GB,Harici,Nvidia GeForce MX130,Full HD,Distribütör Garantili,,,1 TB,1 TB,Q Türkçe,Ofis - İş,Yok,,,12 GB,Siyah,128 GB,,,1920 x 1080,,4 +,10210U,10. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//hp/15-da2097nt-279x1ea-i5-10210u-12gb-1tb-128gb-ssd-4gb-mx130-15-6-freedos-p-59775590,7.899 TL
32 GB,,HDMI,2 kg ve Altı,Yok,"15,6 inç",DDR5,2 GB,Harici,Nvidia GeForce MX230,Full HD,Distribütör Garantili,HD Ready,Var,1 TB,256 GB,Q Türkçe,Oyun,Yok,,IPS,8 GB,Siyah,256 GB,,Full HD (FHD),1920 x 1080,3.00 GHz üstü,1 - 2,10210U,10. Nesil,Intel Core i5,4,Windows,6 Saat ve Üstü,https://www.trendyol.com//acer/tmp215-52wp-i5-10210-8gb-256ssd-1-tb-hdd-fhd-2gb-mx230-w10-pro-p-55051549,8.250 TL
,,,2 kg ve Altı,Yok,"15,6 inç",DDR,Paylaşımlı,Dahili,Dahili Ekran Kartı,HD,Distribütör Garantili,,Var,,1 TB,Q Türkçe,Ofis - İş,DVD Okuyucu,,,8 GB,Siyah,Yok,,,1366 x 768,,,3050U,3. Nesil,Intel Core M5,2,Free Dos,,https://www.trendyol.com//hp/255-g7-athlon-silver-3050u-8gb-1tb-radeon-r3-15-6-tasinabilir-bilgisayar-150a8ea-p-62279784,"5.030,97 TL"
,,Bluetooth,2 - 4 kg,Yok,"15,6 inç",GDDR5,2 GB,Harici,Nvidia GeForce MX130,Full HD,Distribütör Garantili,,Var,,Yok,Q Türkçe,Ofis - İş,DVD RW,,TN,8 GB,Mavi,512 GB,,Full HD (FHD),1920 x 1080,,,10210U,10. Nesil,Intel Core i5,4,Free Dos,6 Saat ve Üstü,https://www.trendyol.com//lenovo/81y300p3tx-i5-10210u-8gb-512gb-ssd-2gb-mx130-15-6-fhd-freedos-dizustu-tasinabilir-bilgisayar-p-51163709,7.699 TL
,,,2 kg ve Altı,Yok,"15,6 inç",DDR,Paylaşımlı,Dahili,Intel HD Graphics 520,HD,Distribütör Garantili,,,,256 GB,Q Türkçe,Ev - Okul,Yok,,,4 GB,Gri,256 GB,,,1366 x 768,,,1005G1,10. Nesil,Intel Core i3,2,Free Dos,,https://www.trendyol.com//exa/trend-3t1-i3-1005g1-4gb-256gb-15-6-hd-dos-gri-p-65072671,4.449 TL
,,,2 kg ve Altı,Yok,"15,6 inç",SD,Paylaşımlı,Dahili,Paylaşımlı,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,4 GB,Beyaz,1 TB,,,1920 x 1080,,,10110U,10. Nesil,Intel Core i3,4,Windows,,https://www.trendyol.com//hp/15-da2095nt-1s7z6ea11-i3-10110u-4gb-1tbssd-15-6-freedos-fhd-tasinabilir-bilgisayar-p-63090537,6.299 TL
,,,2 kg ve Altı,Yok,"13,3 inç",DDR4,4 GB ve altı,Dahili,Intel HD 620,Full HD,Distribütör Garantili,,,,1 TB,Aydınlatmalı,Ofis - İş,Yok,,,24 GB,Siyah,1 TB,,,1920 x 1080,,,10510U,10. Nesil,Intel Core i7,4,Windows,,https://www.trendyol.com//dynabook/portege-x30l-g-12d-24gb-siyah-dizustu-bilgisayar-p-63299447,18.999 TL
,,HDMI,2 kg ve Altı,Yok,"15,6 inç",DDR5,Paylaşımlı,Dahili,Dahili Ekran Kartı,HD,İthalatçı Garantili,,,,Yok,Q İngilizce,Ofis - İş,Yok,,,8 GB,Gümüş,240 GB,,,2880 x 1800,,3 - 4,8265U,8. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//hp/probook-450-g6-5tj82et-sharp-abu-core-i5-8265u-8gb-256gb-ssd-15-6-p-59394724,"6.875,99 TL"
8 GB,,Bluetooth,2 - 4 kg,Yok,"15,6 inç",DDR4,Paylaşımlı,Dahili,Intel HD Graphics 5500,HD,Distribütör Garantili,,Var,,Yok,Q Türkçe,Ofis - İş,DVD Yazıcı,,,4 GB,Siyah,128 GB,,HD Ready (HD),1366 x 768,,,5005U,5. Nesil,Intel Core i3,2,Windows,4 - 6 Saat,https://www.trendyol.com//hp/4uk76ea-15-bs152nt-intel-core-i3-5005u-4gb-128gb-ssd-windows-10-home-15-6-p-34371688,6.899 TL
,,HDMI,2 - 4 kg,Yok,"15,6 inç",GDDR5,2 GB,Harici,Nvidia GeForce MX110,HD,Distribütör Garantili,,Var,,256 GB,Q Türkçe,Ofis - İş,Yok,,,8 GB,Gri,256 GB,,,1920 x 1080,,3 - 4,1035G1,10. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//asus/x509jb-ej026-i5-1035g1-8gb-256gb-ssd-mx110-freedos-15-6-fhd-tasinabilir-bilgisayar-p-42761710,"7.301,70 TL"
,,,2 kg ve Altı,Yok,"15,4 inç",DDR4,2 GB,Dahili,Nvidia GeForce MX130,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,4 GB,Gri,256 GB,,Full HD (FHD),1920 x 1080,,,10210U,10. Nesil,Intel Core i5,4,Windows,6 Saat ve Üstü,https://www.trendyol.com//lenova/ideapad-3-15iml05-intel-core-i5-10210u-4gb-256gb-ssd-mx130-windows-10-home-15-6-fhd-81wb007rtx-p-46430040,6.699 TL
,HDMI,Bluetooth,2 - 4 kg,Yok,"15,6 inç",GDDR6,6 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 2060,Full HD,,,Var,,1 TB,Q Türkçe,Oyun,Yok,,IPS,64 GB,,Yok,,Full HD (FHD),1920 x 1080,,,10750H,10. Nesil,Intel Core i7,6,Windows,,https://www.trendyol.com//casper/excalibur-g900-1075-et60a-d-intel-10-nesil-i7-10750h-64gb-ram-1tb-hdd-6gb-rtx2060-w10-p-51460746,17.249 TL
32 GB,,HDMI,2 kg ve Altı,Yok,"15,6 inç",DDR3,Paylaşımlı,Dahili,Paylaşımlı,Full HD,Distribütör Garantili,,Var,,Yok,Aydınlatmalı,Ofis - İş,Yok,,IPS,8 GB,Gri,512 GB,,Full HD (FHD),1920 x 1080,3.00 GHz üstü,1 - 2,1035G1,10. Nesil,Intel Core i5,4,Free Dos,6 Saat ve Üstü,https://www.trendyol.com//lenovo/thinkbook-15-iil-20sm0039tx-i5-1035g1-8g-512g-ssd-15-6-fdos-p-51159921,7.199 TL
,,,2 - 4 kg,Yok,"14,1 inç",GDDR5,Paylaşımlı,Dahili,Paylaşımlı,Full HD,Distribütör Garantili,,,,512 GB,Q Türkçe,Ofis - İş,Yok,,,16 GB,Siyah,512 GB,,,1920 x 1080,,,10210U,10. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//lenovo/thinkpad-e14-20ra005utx-i5-10210u-16-gb-512-gb-ssd-14-inc-freedos-tasinabilir-bilgisayar-p-46939644,"9.194,70 TL"
16 GB,,Bluetooth,2 kg ve Altı,Var,"12,2 inç",DDR3,Paylaşımlı,Dahili,Dahili Ekran Kartı,QHD,İthalatçı Garantili,HD Ready,,,Yok,Q İngilizce,Ofis - İş,Yok,,IPS,16 GB,Gri,1 TB,,QHD,2736 x 1824,3.00 GHz üstü,1 - 2,8650U,8. Nesil,Intel Core i7,4,Windows,6 Saat ve Üstü,https://www.trendyol.com//microsoft/surface-pro-6-12-3-core-i7-8650u-16-gb-ram-1-tb-ssd-win-10-pro-q-ing-klavye-gri-lqk-00002-p-65682837,18.870 TL
,,,2 kg ve Altı,Yok,"15,6 inç",DDR4,Paylaşımlı,Dahili,Paylaşımlı,HD,Distribütör Garantili,,,,256 GB,Q Türkçe,Ev - Okul,Yok,,,8 GB,Gri,256 GB,,,1366 x 768,,,1005G1,10. Nesil,Intel Core i3,2,Windows,,https://www.trendyol.com//asus/dizustu-bilgisayar-x515jf-br070t-intel-core-i3-1005g1-4gb-256gb-ssd-windows-10-home-15-68-p-62515321,"5.999,99 TL"
,,,2 kg ve Altı,Yok,14 inç,GDDR5,2 GB,Harici,Nvidia GeForce MX330,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,32 GB,Gri,512 GB,,,1920 x 1080,,,1035G1,10. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//dell/vostro-5401-n4105bpvn5401emea12-i5-1035g1-32gb-512ssd-2gb-freedos-14-fhd-nb-p-65470383,8.649 TL
,,,4 kg ve Üstü,Yok,"15,6 inç",GDDR6,4 GB,Harici,Nvidia GeForce GTX1650 Ti,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,16 GB,Gri,256 GB,,,1920 x 1080,,,10750H,10. Nesil,Intel Core i7,6,Windows,,https://www.trendyol.com//lenovo/gaming-3-15imh05-i7-10750h-16gb-256gb-ssd-gtx1650ti-w10home-15-6-81y400d3tx7-p-48134814,12.191 TL
16 GB,,HDMI,2 kg ve Altı,Var,"13,3 inç",DDR5,Paylaşımlı,Dahili,Paylaşımlı,Full HD,Distribütör Garantili,,Var,,Yok,Q Türkçe,Tasarım,Yok,,IPS,8 GB,Gümüş,256 GB,,Full HD (FHD),1920 x 1080,3.00 GHz üstü,3 - 4,4500U,Ryzen,AMD Ryzen 5,4,Windows,4 - 6 Saat,https://www.trendyol.com//hp/probook-x360-435-g7-notebook-pc-amd-ryzen5-4500u-8gb-256gb-ssd-windows-10-home-13-3-touch-full-hd-p-48456931,7.199 TL
32 GB,,HDMI,2 - 4 kg,Yok,"15,6 inç",GDDR6,8 GB,Yüksek Seviye Harici Ekran Kartı,Nvdia GeForce RTX 2070,Full HD,Distribütör Garantili,HD Ready,,,Yok,Numerik Tuşlar Yok,Oyun,Yok,,IPS,32 GB,Siyah,512 GB,,Full HD (FHD),1920 x 1080,,43497,10750H,10. Nesil,Intel Core i7,8,Windows,3 Saat ve Altı,https://www.trendyol.com//msi/gs66-stealth-10sf-462tr-intel-core-i7-10875h-32gb-512gb-ssd-8gb-rtx2070-15-6-240hz-freedos-p-46068982,25.500 TL
32 GB,,USB,2 - 4 kg,Yok,"15,6 inç",GDDR6,6 GB,Harici,Nvidia Geforce GTX1660 Ti,Full HD,Distribütör Garantili,,Var,,Yok,Q Türkçe,Oyun,Yok,,IPS,16 GB,Gri,512 GB,,Full HD (FHD),1920 x 1080,3.00 GHz üstü,4 +,10750H,10. Nesil,Intel Core i7,6,Windows,4 - 6 Saat,https://www.trendyol.com//msi/creator-17m-a10sd-247tr-i7-10750h-16gb-ddr4-gtx1660ti-gddr6-6gb-512gb-ssd-17-3-fhd-144hz-windows10-p-41770229,17.350 TL
,,HDMI,2 kg ve Altı,Yok,"15,6 inç",GDDR5,2 GB,Dahili,Nvidia GeForce MX130,Full HD,Distribütör Garantili,HD Ready,Var,,256 GB,Q Türkçe,Ev - Okul,DVD Okuyucu,DVD Yazıcı,,4 GB,Gri,256 GB,,Full HD (FHD),1920 x 1080,,1 - 2,10210U,10. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//lenovo/ideapad-l3-15iml05-i5-10210u-4gb-ram-256gb-ssd-nvidia-mx130-2gb-win10h-81wb007rtx-p-48602607,"6.889,99 TL"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//lenovo/thinkpad-p53-20qn0064tx10-i7-9750h-64gb-1-tb-512-ssd-4gb-15-6-w10pro-tasinabilir-bilgisayar-p-38549352,"20.577,01 TL"
,,,2 kg ve Altı,Yok,"15,6 inç",DDR4,Paylaşımlı,Dahili,AMD,Full HD,Distribütör Garantili,,,,1 TB,Q Türkçe,Ofis - İş,Yok,,TN,8 GB,Gri,1 TB,,,1920 x 1080,,,3250U,3. Nesil,AMD,2,Free Dos,,https://www.trendyol.com//lenovo/v15-ada-amd-3020e-8gb-1tb-freedos-15-6-fhd-tasinabilir-bilgisayar-82c7008gtx1-p-56872984,5.099 TL
,,,2 kg ve Altı,Yok,"15,6 inç",GDDR5,4 GB ve altı,Harici,Nvidia GeForce GTX1650 Ti,Full HD,Distribütör Garantili,,,,16 GB,Numerik Tuşlar Yok,Ofis - İş,Yok,,,16 GB,Gri,512 GB,,,1920 x 1080,,,1185G7,11.Nesil,Intel Xeon,4,Windows,,https://www.trendyol.com//msi/prestige-15-a11scs-035tr-intel-core-i7-1185g7-16gb-512gb-ssd-gtx-1650ti-windows-10-home-15-6-fhd-p-62263914,16.639 TL
,,HDMI,2 - 4 kg,Yok,"15,6 inç",GDDR6,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce GTX1650 Ti,Full HD,Distribütör Garantili,,Var,,Yok,Q Türkçe,Oyun,Yok,,IPS,16 GB,Gri,512 GB,,Full HD (FHD),1920 x 1080,3.00 GHz üstü,2 - 3,10300H,10. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//lenovo/ideapad-gaming-3-i5-10300h-16gb-512gb-ssd-120hz-ips-gtx1650ti-4gb-fdos-15-6-fhd-81y400lqtx-p-47315073,9.199 TL
,,,2 kg ve Altı,Yok,14 inç,GDDR5,2 GB,Harici,Nvidia GeForce MX330,Full HD,Distribütör Garantili,,,,Yok,Aydınlatmalı,Ofis - İş,Yok,,,8 GB,Gri,256 GB,,,1920 x 1080,,,1035G1,10. Nesil,Intel Core i5,8,Windows,,https://www.trendyol.com//dell/vostro-5401-n4105bpvn5401emew01-i5-1035g1-8gb-256ssd-2gb-w10p-14-fhd-nb-dizustu-bilgisayar-p-51468396,7.549 TL
16 GB,,HDMI,2 - 4 kg,Yok,"15,6 inç",DDR4,Paylaşımlı,Dahili,Intel UHD Graphics 600,Full HD,Distribütör Garantili,HD Ready,Var,,256 GB,Q Türkçe,Ev - Okul,Yok,,IPS,8 GB,Siyah,256 GB,,Full HD (FHD),1366 x 768,,3 - 4,1005G1,10. Nesil,Intel Core i3,4,Free Dos,6 Saat ve Üstü,https://www.trendyol.com//hp/15-dw2027nt-intel-core-i3-1005g1-8-gb-ram-256-gb-ssd-15-6-inc-hd-freedos-laptop-p-50411593,"5.099,90 TL"
,,,2 kg ve Altı,Yok,"15,6 inç",SD,Paylaşımlı,Dahili,Paylaşımlı,HD,Distribütör Garantili,,,,Yok,Numerik Tuşlu,Ofis - İş,Yok,,,8 GB,Siyah,256 GB,,,1366 x 768,,,1005G1,10. Nesil,Intel Core i3,2,Windows,,https://www.trendyol.com//hp/250-g7-1q3e7es03-intel-core-i3-1005g1-8gb-256ssd-15-6-windows-10-home-hd-tasinabilir-bilgisayar-p-62302829,5.949 TL
,,,2 - 4 kg,Yok,"15,6 inç",DDR4,2 GB,Dahili,Dahili Ekran Kartı,Full HD,Distribütör Garantili,,,,256 GB,Q Türkçe,Ev - Okul,Yok,,,12 GB,Gri,256 GB,,,1920 x 1080,,,3200U,3. Nesil,AMD Ryzen 3,2,Free Dos,,https://www.trendyol.com//lenovo/v15-ada-82c7001ftx-amd-ryzen-3-3250u-12gb-256ssd-15-6-freedos-p-47991795,"7.155,45 TL"
,,,2 - 4 kg,Yok,"15,6 inç",GDDR6,6 GB,Harici,Nvidia GeForce RTX2060,Full HD,Distribütör Garantili,,,,1 TB,Q Türkçe,Oyun,Yok,,,32 GB,Siyah,256 GB,,,1920 x 1080,,,10750H,10. Nesil,Intel Core i7,1,Windows,,https://www.trendyol.com//msi/gl75-leopard-10ser-257xtr-intel-core-i7-10750h-32gb-1tb-256gb-ssd-rtx-2060-freedos-17-3-fhd-p-45976258,18.250 TL
,,,2 kg ve Altı,Var,14 inç,DDR4,Paylaşımlı,Dahili,Dahili Ekran Kartı,Full HD,Distribütör Garantili,,,,128 GB,Q Türkçe,Ofis - İş,Yok,,,4 GB,Gri,128 GB,,,1920 x 1080,,,1005G1,10. Nesil,Intel Core i3,2,Windows,,https://www.trendyol.com//lenovo/81x100gktx-flex-5-core-i3-1005g1-4gb-128ssd-14-fhd-win10-p-52881088,"6.599,99 TL"
,HDMI,Bluetooth,2 - 4 kg,Yok,"15,6 inç",GDDR6,8 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 2070,Full HD,Casper Türkiye Garantili,,Var,,1 TB,Q Türkçe,Oyun,Yok,,IPS,32 GB,,500 GB,,Full HD (FHD),1920 x 1080,,,10750H,10. Nesil,Intel Core i7,6,Free Dos,,https://www.trendyol.com//casper/excalibur-g900-1075-d670x-b-intel-10-nesil-i7-10750h-32gb-ram-1tb-500gb-nvme-ssd-6gb-rtx2070-dos-p-62803252,16.199 TL
,,,2 kg ve Altı,Yok,14 inç,GDDR5,2 GB,Harici,Nvidia GeForce MX230,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,20 GB,Gri,512 GB,,,1920 x 1080,,,10210U,10. Nesil,Intel Core i5,8,Windows,,https://www.trendyol.com//dell/vostro-5490-n4105vn5490emea13-i5-10210u-20gb-512ssd-fdos-2gb-fhd-tasinabilir-bilgisayar-p-43514901,8.049 TL
,,Bluetooth,2 - 4 kg,Yok,"15,6 inç",GDDR5,2 GB,Harici,Nvidia GeForce MX230,HD,Distribütör Garantili,,Var,,Yok,Q Türkçe,Ofis - İş,Yok,,TN,8 GB,Gri,240 GB,,,1366 x 768,,,10210U,10. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//casper/nirvana-s500-1021-8d50t-g-15-6-intel-core-i5-10210u-8gb-ddr4-ram-240gb-ssd-mx230-windows-10-p-35238316,"8.199,99 TL"
16 GB,,HDMI,2 kg ve Altı,Yok,14 inç,DDR4,Paylaşımlı,Dahili,AMD,Full HD,Distribütör Garantili,,Var,,Yok,Q Türkçe,Ofis - İş,Yok,,IPS,8 GB,Gri,512 GB,,Full HD (FHD),1920 x 1080,,2 - 3,4600U,Ryzen,AMD Ryzen 7,8,Free Dos,4 - 6 Saat,https://www.trendyol.com//lenovo/thinkpad-e14-amd-ryzen-7-4700u-8gb-512gb-ssd-freedos-14-fhd-20t60023tx-p-50783493,7.099 TL
,,,2 - 4 kg,Yok,"15,6 inç",DDR5,Paylaşımlı,Dahili,Dahili Ekran Kartı,HD,Distribütör Garantili,,,,256 GB,Q Türkçe,Ev - Okul,Yok,,,4 GB,Siyah,256 GB,,,1366 x 768,,,1005G1,10. Nesil,Intel Core i3,4,Free Dos,,https://www.trendyol.com//hp/1q3l6es-nb-15-6-hd-i3-1005g1-4gb-256gb-pcie-nvme-fdos-p-52325569,4.919 TL
,,USB,2 kg ve Altı,Var,"15,6 inç",DDR4,Paylaşımlı,Dahili,Intel HD Graphics 5500,Full HD,İthalatçı Garantili,HD Ready,Var,,Yok,Q Türkçe,Ofis - İş,Yok,,IPS,4 GB,Gümüş,256 GB,,Full HD (FHD),1920 x 1080,,2 - 3,5005U,5. Nesil,Intel Core i3,2,Windows,3 Saat ve Altı,https://www.trendyol.com//i-life-digital/i-life-zed-air-cx3-intel-core-i3-5005u-4gb-256ssd-windows-10-15-6-fhd-tasinabilir-bilgisayar-p-51129750,4.200 TL
32 GB,,HDMI,2 kg ve Altı,Yok,"15,6 inç",DDR5,2 GB,Harici,Nvidia GeForce MX230,Full HD,Distribütör Garantili,HD Ready,Var,1 TB,256 GB,Q Türkçe,Ev - Okul,Yok,,IPS,8 GB,Siyah,256 GB,,Full HD (FHD),1920 x 1080,3.00 GHz üstü,1 - 2,10210U,10. Nesil,Intel Core i5,4,Linux,6 Saat ve Üstü,https://www.trendyol.com//acer/tmp215-52d-i5-10210-8gb-256ssd-1-tb-hdd-fhd-2gb-mx230-linuxf-dos-p-54850214,7.100 TL
,,,2 - 4 kg,Yok,"15,6 inç",SD,Paylaşımlı,Dahili,Paylaşımlı,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ev - Okul,Yok,,,16 GB,Gri,1 TB,,,1920 x 1080,,,4600U,Ryzen,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//lenovo/l15-20u5001ytx05-ryzen7-4750u-16gb-1tbssd-15-6-freedos-fullhd-tasinabilir-bilgisayar-p-54572929,8.899 TL
32 GB,,,2 - 4 kg,,"17,3 inç",,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce GTX1650 Ti,,Distribütör Garantili,,,,1 TB,Q Türkçe,Oyun,,,IPS,16 GB,,256 GB,,,1920 x 1080,,,10300H,10. Nesil,Intel Core i5,8,Windows,3 Saat ve Altı,https://www.trendyol.com//casper/excalibur-g780-1030-b5j0p-intel-10-nesil-i5-10300h-16gb-ram-1tb-256-ssd-4gb-gtx1650ti-w10-p-39574684,11.469 TL
